neuron_id,condition,cell_line,drug,well,tile,stimulation,original_hdf5,num_timepoints,timepoint,timepoint_idx,rfp1_path,halo_path,label_stimulation,label_cell_line,label_timepoint,label_stim_time,label_cell_time,label_cell_stim,label_all,label_6class,class_label,label_binary,confidence_class0,confidence_class1,predicted_class
D7_tile1_n1480,APPV717I,APPV717I,DMSO,D7,1,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_1_1480.h5,16,T0,0,images/RFP1/D7_tile1_n1480_T0.png,images/Halo/D7_tile1_n1480_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.029134352,0.9708656,1
D7_tile1_n1480,APPV717I,APPV717I,DMSO,D7,1,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_1_1480.h5,16,T15,15,images/RFP1/D7_tile1_n1480_T15.png,images/Halo/D7_tile1_n1480_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.99999976,2.389539e-07,0
D7_tile4_n223,APPV717I,APPV717I,DMSO,D7,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_4_223.h5,16,T0,0,images/RFP1/D7_tile4_n223_T0.png,images/Halo/D7_tile4_n223_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.12194485,0.87805516,1
D7_tile4_n223,APPV717I,APPV717I,DMSO,D7,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_4_223.h5,16,T15,15,images/RFP1/D7_tile4_n223_T15.png,images/Halo/D7_tile4_n223_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,1.0,6.9705946e-14,0
D7_tile2_n173,APPV717I,APPV717I,DMSO,D7,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_2_173.h5,16,T0,0,images/RFP1/D7_tile2_n173_T0.png,images/Halo/D7_tile2_n173_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,0.0002469193,0.99975306,1
D7_tile2_n173,APPV717I,APPV717I,DMSO,D7,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_2_173.h5,16,T15,15,images/RFP1/D7_tile2_n173_T15.png,images/Halo/D7_tile2_n173_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.99993217,6.781887e-05,0
D7_tile3_n135,APPV717I,APPV717I,DMSO,D7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_3_135.h5,16,T0,0,images/RFP1/D7_tile3_n135_T0.png,images/Halo/D7_tile3_n135_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,0.000237412,0.9997626,1
D7_tile3_n135,APPV717I,APPV717I,DMSO,D7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_3_135.h5,16,T15,15,images/RFP1/D7_tile3_n135_T15.png,images/Halo/D7_tile3_n135_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,1.0,3.574041e-15,0
D7_tile2_n210,APPV717I,APPV717I,DMSO,D7,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_2_210.h5,16,T0,0,images/RFP1/D7_tile2_n210_T0.png,images/Halo/D7_tile2_n210_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,2.2661308e-05,0.99997735,1
D7_tile2_n210,APPV717I,APPV717I,DMSO,D7,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_2_210.h5,16,T15,15,images/RFP1/D7_tile2_n210_T15.png,images/Halo/D7_tile2_n210_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.99999917,8.45535e-07,0
