well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
K1,1,T0,APPV717I,0ms,10,0.5708818,0.1634326,0.42911822,0.1634326,0.2
K1,1,T15,APPV717I,0ms,10,0.7588916,0.05938635,0.24110839,0.059386346,0.0
K1,2,T0,APPV717I,10000ms,25,0.52333134,0.239766,0.47666866,0.23976602,0.32
K1,2,T15,APPV717I,10000ms,25,0.69406813,0.21042511,0.30593187,0.21042511,0.08
K1,3,T0,APPV717I,10000ms,31,0.445497,0.25355974,0.55450296,0.25355974,0.41935483870967744
K1,3,T15,APPV717I,10000ms,31,0.6763438,0.20704155,0.3236562,0.20704155,0.0967741935483871
K1,4,T0,APPV717I,0ms,28,0.5329835,0.23113146,0.46701652,0.23113146,0.32142857142857145
K1,4,T15,APPV717I,0ms,28,0.7581039,0.056698803,0.24189608,0.056698807,0.0
K20,1,T0,APPV717I,0ms,29,0.41641337,0.24378309,0.5835866,0.24378309,0.4827586206896552
K20,1,T15,APPV717I,0ms,29,0.68632066,0.18095249,0.31367934,0.18095249,0.13793103448275862
K20,2,T0,APPV717I,10000ms,34,0.45746684,0.23875774,0.54253316,0.23875773,0.4411764705882353
K20,2,T15,APPV717I,10000ms,34,0.64354795,0.20481767,0.35645202,0.20481765,0.17647058823529413
K20,3,T0,APPV717I,10000ms,28,0.40510777,0.22610727,0.5948922,0.22610725,0.6071428571428571
K20,3,T15,APPV717I,10000ms,28,0.677054,0.17159031,0.32294604,0.17159031,0.14285714285714285
K20,4,T0,APPV717I,0ms,38,0.3702241,0.2542825,0.6297759,0.2542825,0.5789473684210527
K20,4,T15,APPV717I,0ms,38,0.693684,0.14660858,0.30631602,0.14660858,0.07894736842105263
L20,1,T0,APPV717I,0ms,9,0.48708022,0.2796886,0.5129197,0.2796886,0.3333333333333333
L20,1,T15,APPV717I,0ms,9,0.58456755,0.25365445,0.41543242,0.25365445,0.3333333333333333
L20,2,T0,APPV717I,10000ms,33,0.448811,0.22473828,0.551189,0.22473828,0.6060606060606061
L20,2,T15,APPV717I,10000ms,33,0.693872,0.1391414,0.30612803,0.1391414,0.09090909090909091
L20,3,T0,APPV717I,10000ms,29,0.46937692,0.22882767,0.5306231,0.22882766,0.5172413793103449
L20,3,T15,APPV717I,10000ms,29,0.6394219,0.21030183,0.36057818,0.21030183,0.2413793103448276
L20,4,T0,APPV717I,0ms,28,0.3954094,0.2778344,0.6045906,0.2778344,0.5357142857142857
