well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
D7,1,T15,APPV717I,0ms,7,0.5600668,0.29387042,0.43993324,0.29387042,0.42857142857142855
D7,2,T0,APPV717I,10000ms,27,0.5471315,0.2860468,0.4528685,0.2860468,0.2962962962962963
D7,2,T15,APPV717I,10000ms,27,0.50366545,0.27101928,0.49633452,0.27101928,0.3333333333333333
D7,3,T0,APPV717I,10000ms,37,0.6291367,0.2631607,0.3708633,0.26316074,0.21621621621621623
D7,3,T15,APPV717I,10000ms,37,0.519245,0.27743444,0.48075494,0.27743444,0.3783783783783784
D7,4,T0,APPV717I,0ms,36,0.62561953,0.25413796,0.37438047,0.25413796,0.19444444444444445
D7,4,T15,APPV717I,0ms,36,0.5049794,0.26047683,0.4950206,0.26047683,0.4444444444444444
E1,1,T0,APPV717I,0ms,38,0.72796136,0.14950736,0.2720387,0.14950734,0.05263157894736842
E1,1,T15,APPV717I,0ms,38,0.68295425,0.18503292,0.31704578,0.18503293,0.13157894736842105
E1,2,T0,APPV717I,10000ms,43,0.7206626,0.15917046,0.27933744,0.15917046,0.11627906976744186
E1,2,T15,APPV717I,10000ms,43,0.70868105,0.13909654,0.29131898,0.13909654,0.09302325581395349
E1,3,T0,APPV717I,10000ms,38,0.70568436,0.17065625,0.29431564,0.17065623,0.13157894736842105
E1,3,T15,APPV717I,10000ms,38,0.7021756,0.17292017,0.29782435,0.17292017,0.07894736842105263
E1,4,T0,APPV717I,0ms,30,0.71822035,0.1763793,0.28177965,0.17637931,0.1
E1,4,T15,APPV717I,0ms,30,0.6768997,0.18586028,0.32310036,0.18586029,0.13333333333333333
F18,1,T0,APPV717I,0ms,17,0.6481602,0.2272099,0.3518398,0.22720988,0.17647058823529413
F18,1,T15,APPV717I,0ms,17,0.59160817,0.260096,0.40839183,0.260096,0.35294117647058826
F18,2,T0,APPV717I,10000ms,37,0.6216878,0.27862278,0.3783122,0.27862278,0.21621621621621623
F18,2,T15,APPV717I,10000ms,37,0.60394496,0.27141947,0.39605504,0.2714195,0.2972972972972973
F18,3,T0,APPV717I,10000ms,47,0.7305596,0.11983261,0.26944038,0.11983262,0.02127659574468085
F18,3,T15,APPV717I,10000ms,47,0.62305534,0.2249964,0.37694472,0.2249964,0.23404255319148937
F18,4,T0,APPV717I,0ms,55,0.62403697,0.2628194,0.37596303,0.2628194,0.23636363636363636
F18,4,T15,APPV717I,0ms,55,0.6226637,0.23891576,0.37733632,0.23891576,0.21818181818181817
F20,1,T0,APPV717I,0ms,16,0.64581853,0.20872852,0.35418147,0.2087285,0.1875
F20,1,T15,APPV717I,0ms,16,0.57054716,0.26461774,0.42945284,0.26461774,0.25
F20,2,T0,APPV717I,10000ms,43,0.7523891,0.10724819,0.24761096,0.1072482,0.046511627906976744
F20,2,T15,APPV717I,10000ms,43,0.6806382,0.18323244,0.3193618,0.18323243,0.18604651162790697
