neuron_id,condition,cell_line,drug,well,tile,stimulation,original_hdf5,num_timepoints,timepoint,timepoint_idx,rfp1_path,halo_path,label_stimulation,label_cell_line,label_timepoint,label_stim_time,label_cell_time,label_cell_stim,label_all,label_6class,class_label,label_binary,confidence_class0,confidence_class1,predicted_class
O19_tile2_n96,APPV717I,APPV717I,DMSO,O19,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_2_96.h5,16,T0,0,images/RFP1/O19_tile2_n96_T0.png,images/Halo/O19_tile2_n96_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,0.99250984,0.007490189,0
O19_tile2_n96,APPV717I,APPV717I,DMSO,O19,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_2_96.h5,16,T15,15,images/RFP1/O19_tile2_n96_T15.png,images/Halo/O19_tile2_n96_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.99512607,0.0048740185,0
O19_tile4_n107,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_107.h5,16,T0,0,images/RFP1/O19_tile4_n107_T0.png,images/Halo/O19_tile4_n107_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.018505322,0.98149467,1
O19_tile4_n107,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_107.h5,16,T15,15,images/RFP1/O19_tile4_n107_T15.png,images/Halo/O19_tile4_n107_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.9998733,0.00012675565,0
O19_tile4_n113,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_113.h5,16,T0,0,images/RFP1/O19_tile4_n113_T0.png,images/Halo/O19_tile4_n113_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.0036230006,0.99637705,1
O19_tile4_n113,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_113.h5,16,T15,15,images/RFP1/O19_tile4_n113_T15.png,images/Halo/O19_tile4_n113_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.95267206,0.04732792,0
O19_tile4_n94,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_94.h5,16,T0,0,images/RFP1/O19_tile4_n94_T0.png,images/Halo/O19_tile4_n94_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,5.0852082e-05,0.9999491,1
O19_tile4_n94,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_94.h5,16,T15,15,images/RFP1/O19_tile4_n94_T15.png,images/Halo/O19_tile4_n94_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.21585618,0.78414387,1
O19_tile4_n50,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_50.h5,16,T0,0,images/RFP1/O19_tile4_n50_T0.png,images/Halo/O19_tile4_n50_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.00031245075,0.99968755,1
O19_tile4_n50,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_50.h5,16,T15,15,images/RFP1/O19_tile4_n50_T15.png,images/Halo/O19_tile4_n50_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,1.0,1.7550944e-08,0
O19_tile4_n117,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_117.h5,16,T0,0,images/RFP1/O19_tile4_n117_T0.png,images/Halo/O19_tile4_n117_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.42420197,0.57579803,1
O19_tile4_n117,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_117.h5,16,T15,15,images/RFP1/O19_tile4_n117_T15.png,images/Halo/O19_tile4_n117_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.9123504,0.0876496,0
O19_tile3_n13,APPV717I,APPV717I,DMSO,O19,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_3_13.h5,16,T0,0,images/RFP1/O19_tile3_n13_T0.png,images/Halo/O19_tile3_n13_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,3.6128238e-06,0.9999964,1
O19_tile3_n13,APPV717I,APPV717I,DMSO,O19,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_3_13.h5,16,T15,15,images/RFP1/O19_tile3_n13_T15.png,images/Halo/O19_tile3_n13_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.9999982,1.7729726e-06,0
O19_tile2_n11,APPV717I,APPV717I,DMSO,O19,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_2_11.h5,16,T0,0,images/RFP1/O19_tile2_n11_T0.png,images/Halo/O19_tile2_n11_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,0.061553713,0.9384463,1
O19_tile2_n11,APPV717I,APPV717I,DMSO,O19,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_2_11.h5,16,T15,15,images/RFP1/O19_tile2_n11_T15.png,images/Halo/O19_tile2_n11_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.999676,0.0003240105,0
O19_tile4_n33,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_33.h5,16,T0,0,images/RFP1/O19_tile4_n33_T0.png,images/Halo/O19_tile4_n33_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.0002625533,0.99973744,1
O19_tile4_n33,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_33.h5,16,T15,15,images/RFP1/O19_tile4_n33_T15.png,images/Halo/O19_tile4_n33_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.7583666,0.24163346,0
O19_tile3_n287,APPV717I,APPV717I,DMSO,O19,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_3_287.h5,16,T0,0,images/RFP1/O19_tile3_n287_T0.png,images/Halo/O19_tile3_n287_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,6.0702212e-05,0.9999393,1
O19_tile3_n287,APPV717I,APPV717I,DMSO,O19,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_3_287.h5,16,T15,15,images/RFP1/O19_tile3_n287_T15.png,images/Halo/O19_tile3_n287_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.99988556,0.00011446079,0
O19_tile3_n9,APPV717I,APPV717I,DMSO,O19,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_3_9.h5,16,T0,0,images/RFP1/O19_tile3_n9_T0.png,images/Halo/O19_tile3_n9_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,0.012179566,0.98782045,1
O19_tile3_n9,APPV717I,APPV717I,DMSO,O19,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_3_9.h5,16,T15,15,images/RFP1/O19_tile3_n9_T15.png,images/Halo/O19_tile3_n9_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.37126857,0.6287314,1
O19_tile2_n40,APPV717I,APPV717I,DMSO,O19,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_2_40.h5,16,T0,0,images/RFP1/O19_tile2_n40_T0.png,images/Halo/O19_tile2_n40_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,0.0436424,0.95635754,1
O19_tile2_n40,APPV717I,APPV717I,DMSO,O19,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_2_40.h5,16,T15,15,images/RFP1/O19_tile2_n40_T15.png,images/Halo/O19_tile2_n40_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.98829645,0.011703572,0
O19_tile2_n146,APPV717I,APPV717I,DMSO,O19,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_2_146.h5,16,T0,0,images/RFP1/O19_tile2_n146_T0.png,images/Halo/O19_tile2_n146_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,0.0008028173,0.9991972,1
O19_tile2_n146,APPV717I,APPV717I,DMSO,O19,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_2_146.h5,16,T15,15,images/RFP1/O19_tile2_n146_T15.png,images/Halo/O19_tile2_n146_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.9984464,0.0015535954,0
O19_tile3_n18,APPV717I,APPV717I,DMSO,O19,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_3_18.h5,16,T0,0,images/RFP1/O19_tile3_n18_T0.png,images/Halo/O19_tile3_n18_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,3.5858438e-06,0.9999964,1
O19_tile3_n18,APPV717I,APPV717I,DMSO,O19,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_3_18.h5,16,T15,15,images/RFP1/O19_tile3_n18_T15.png,images/Halo/O19_tile3_n18_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.62888485,0.3711152,0
O19_tile4_n204,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_204.h5,16,T0,0,images/RFP1/O19_tile4_n204_T0.png,images/Halo/O19_tile4_n204_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.00050462736,0.9994954,1
O19_tile4_n204,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_204.h5,16,T15,15,images/RFP1/O19_tile4_n204_T15.png,images/Halo/O19_tile4_n204_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.98762393,0.012376125,0
